Timestamp,ID,trial,InvestmentAgainstMitigation,Health,Life,Property,CummulativeInvestment,WeightInvest,TimeSpan,IncomeAvailable,Ration H,Ratio L,Ratio P ,Ratio investment total,Ratio Mitigation,Ratio total,,Total investment
6/23/2020 7:31,5ef1aee07cd205.61587308,0,0,0,0,0,0,0.7,36,8760,0,0,0,0,0,0,,0
6/23/2020 7:32,5ef1aee07cd205.61587308,1,500,0,488,0,500,0.7,36,8760,0,1,0,0.137658674,0.060444874,0.112785388,,988
6/23/2020 7:34,5ef1aee07cd205.61587308,2,800,0,488,0,1300,0.7,36,7665,0,1,0,0.137658674,0.111467187,0.16803653,,1288
6/23/2020 7:35,5ef1aee07cd205.61587308,3,2000,0,0,1884,3300,0.7,36,7665,0,0,1,0.53145275,0.345960906,0.506718852,,3884
6/23/2020 7:37,5ef1aee07cd205.61587308,4,1500,1173,0,0,4800,0.7,36,7665,1,0,0,0.330888575,0.231053604,0.348727984,,2673
6/23/2020 7:38,5ef1aee07cd205.61587308,5,5000,0,488,0,9800,0.7,36,7665,0,1,0,0.137658674,0.696669918,0.715981735,,5488
6/23/2020 7:39,5ef1aee07cd205.61587308,6,500,0,488,0,10300,0.7,36,7665,0,1,0,0.137658674,0.069666992,0.128897586,,988
6/23/2020 7:40,5ef1aee07cd205.61587308,7,2000,0,488,0,12300,0.7,36,7665,0,1,0,0.137658674,0.278667967,0.324592303,,2488
6/23/2020 7:40,5ef1aee07cd205.61587308,8,4000,1173,0,0,16300,0.7,36,7665,1,0,0,0.330888575,0.616142945,0.674885845,,5173
6/23/2020 7:41,5ef1aee07cd205.61587308,9,0,1173,0,0,16300,0.7,36,7665,1,0,0,0.330888575,0,0.153033268,,1173
6/23/2020 7:41,5ef1aee07cd205.61587308,10,6000,0,488,0,22300,0.7,36,7665,0,1,0,0.137658674,0.836003901,0.846444879,,6488
6/23/2020 7:42,5ef1aee07cd205.61587308,11,4000,0,488,0,26300,0.7,36,6036.19,0,1,0,0.137658674,0.720955843,0.743515363,,4488
6/23/2020 7:42,5ef1aee07cd205.61587308,12,2000,0,488,0,28300,0.7,36,5281.66,0,1,0,0.137658674,0.417217742,0.471064022,,2488
6/23/2020 7:42,5ef1aee07cd205.61587308,13,4000,1173,0,0,32300,0.7,36,5281.66,1,0,0,0.330888575,0.973553421,0.979426923,,5173
6/23/2020 7:43,5ef1aee07cd205.61587308,14,3000,0,488,0,35300,0.7,36,5281.66,0,1,0,0.137658674,0.625826613,0.660398435,,3488
6/23/2020 7:43,5ef1aee07cd205.61587308,15,500,0,488,0,35800,0.7,36,5281.66,0,1,0,0.137658674,0.104304435,0.187062401,,988
6/23/2020 7:43,5ef1aee07cd205.61587308,16,100,0,488,0,35900,0.7,36,5281.66,0,1,0,0.137658674,0.020860887,0.111328635,,588
6/23/2020 7:43,5ef1aee07cd205.61587308,17,300,0,488,0,36200,0.7,36,4753.5,0,1,0,0.137658674,0.070331731,0.165772589,,788
6/23/2020 7:44,5ef1aee07cd205.61587308,18,3000,0,488,0,39200,0.7,36,4159.31,0,1,0,0.137658674,0.817147013,0.838600633,,3488
6/23/2020 7:44,5ef1aee07cd205.61587308,19,2000,1173,0,0,41200,0.7,36,4159.31,1,0,0,0.330888575,0.669722835,0.762866918,,3173
6/23/2020 7:44,5ef1aee07cd205.61587308,20,250,0,0,1884,41450,0.7,36,4159.31,0,0,1,0.53145275,0.109875138,0.513065869,,2134
6/23/2020 7:45,5ef1aee07cd205.61587308,21,200,0,488,0,41650,0.7,36,3639.4,0,1,0,0.137658674,0.063463857,0.18904215,,688
6/23/2020 7:45,5ef1aee07cd205.61587308,22,300,0,488,0,41950,0.7,36,3639.4,0,1,0,0.137658674,0.095195786,0.216519206,,788
6/23/2020 7:45,5ef1aee07cd205.61587308,23,600,0,488,0,42550,0.7,36,3639.4,0,1,0,0.137658674,0.190391572,0.298950376,,1088
6/23/2020 7:45,5ef1aee07cd205.61587308,24,100,1173,0,0,42650,0.7,36,3639.4,1,0,0,0.330888575,0.040544924,0.349782931,,1273
6/23/2020 7:45,5ef1aee07cd205.61587308,25,500,0,488,0,43150,0.7,36,3275.46,0,1,0,0.137658674,0.179374771,0.301637022,,988
6/23/2020 7:46,5ef1aee07cd205.61587308,26,300,0,488,0,43450,0.7,36,2866.02,0,1,0,0.137658674,0.126155373,0.274945744,,788
6/23/2020 7:46,5ef1aee07cd205.61587308,27,400,1173,0,0,43850,0.7,36,2507.77,1,0,0,0.330888575,0.299677098,0.627250505,,1573
6/23/2020 7:46,5ef1aee07cd205.61587308,28,400,0,488,0,44250,0.7,36,2507.77,0,1,0,0.137658674,0.198042351,0.354099459,,888
6/23/2020 7:46,5ef1aee07cd205.61587308,29,800,1173,0,0,45050,0.7,36,2507.77,1,0,0,0.330888575,0.599354196,0.786754766,,1973
6/23/2020 7:46,5ef1aee07cd205.61587308,30,1000,0,488,0,46050,0.7,36,2507.77,0,1,0,0.137658674,0.495105878,0.59335585,,1488
6/23/2020 7:47,5ef1aee07cd205.61587308,31,600,0,488,0,46650,0.7,36,2256.99,0,1,0,0.137658674,0.339176592,0.482057962,,1088
6/23/2020 7:47,5ef1aee07cd205.61587308,32,800,0,488,0,47450,0.7,36,1974.87,0,1,0,0.137658674,0.538043003,0.652194828,,1288
6/23/2020 7:47,5ef1aee07cd205.61587308,33,1000,0,488,0,48450,0.7,36,1974.87,0,1,0,0.137658674,0.672553754,0.753467317,,1488
6/23/2020 7:47,5ef1aee07cd205.61587308,34,200,0,488,0,48650,0.7,36,1974.87,0,1,0,0.137658674,0.134510751,0.348377362,,688
6/23/2020 7:47,5ef1aee07cd205.61587308,35,500,0,488,0,49150,0.7,36,1974.87,0,1,0,0.137658674,0.336276877,0.500286095,,988
6/23/2020 7:48,5ef1aee07cd205.61587308,36,150,1173,0,0,49300,0.7,36,1728.01,1,0,0,0.330888575,0.270265401,0.765620569,,1323
6/23/2020 7:29,5ef1aee8c02875.75388205,0,0,0,0,0,0,0.7,36,8760,0,0,0,0,0,0,,0
6/23/2020 7:30,5ef1aee8c02875.75388205,1,7500,1173,0,0,7500,0.7,36,8760,1,0,0,0.330888575,0.988533017,0.990068493,,8673
6/23/2020 7:31,5ef1aee8c02875.75388205,2,5000,0,488,0,12500,0.7,36,8760,0,1,0,0.137658674,0.604448743,0.626484018,,5488
6/23/2020 7:31,5ef1aee8c02875.75388205,3,4500,1173,0,0,17000,0.7,36,8760,1,0,0,0.330888575,0.59311981,0.64760274,,5673
6/23/2020 7:37,5ef1aee8c02875.75388205,4,5000,0,0,1884,22000,0.7,36,8760,0,0,1,0.53145275,0.727166958,0.785844749,,6884
6/23/2020 7:38,5ef1aee8c02875.75388205,5,1000,0,488,0,23000,0.7,36,8760,0,1,0,0.137658674,0.120889749,0.169863014,,1488
6/23/2020 7:39,5ef1aee8c02875.75388205,6,6000,1173,0,0,29000,0.7,36,7665,1,0,0,0.330888575,0.924214418,0.935812133,,7173
6/23/2020 7:41,5ef1aee8c02875.75388205,7,3000,1173,0,0,32000,0.7,36,7665,1,0,0,0.330888575,0.462107209,0.544422701,,4173
6/23/2020 7:42,5ef1aee8c02875.75388205,8,4000,1173,0,0,36000,0.7,36,7665,1,0,0,0.330888575,0.616142945,0.674885845,,5173
6/23/2020 7:42,5ef1aee8c02875.75388205,9,5000,1173,0,0,41000,0.7,36,7665,1,0,0,0.330888575,0.770178681,0.805348989,,6173
6/23/2020 7:42,5ef1aee8c02875.75388205,10,2000,1173,0,0,43000,0.7,36,7665,1,0,0,0.330888575,0.308071473,0.413959556,,3173
6/23/2020 7:43,5ef1aee8c02875.75388205,11,1000,1173,0,0,44000,0.7,36,7665,1,0,0,0.330888575,0.154035736,0.283496412,,2173
6/23/2020 7:43,5ef1aee8c02875.75388205,12,1173,1173,0,0,45173,0.7,36,7665,1,0,0,0.330888575,0.180683919,0.306066536,,2346
6/23/2020 7:43,5ef1aee8c02875.75388205,13,6000,1173,0,0,51173,0.7,36,7665,1,0,0,0.330888575,0.924214418,0.935812133,,7173
6/23/2020 7:43,5ef1aee8c02875.75388205,14,4000,1173,0,0,55173,0.7,36,7665,1,0,0,0.330888575,0.616142945,0.674885845,,5173
6/23/2020 7:43,5ef1aee8c02875.75388205,15,500,1173,0,0,55673,0.7,36,7665,1,0,0,0.330888575,0.077017868,0.21826484,,1673
6/23/2020 7:44,5ef1aee8c02875.75388205,16,1000,1173,0,0,56673,0.7,36,7665,1,0,0,0.330888575,0.154035736,0.283496412,,2173
6/23/2020 7:46,5ef1aee8c02875.75388205,17,300,1173,0,0,56973,0.7,36,7665,1,0,0,0.330888575,0.046210721,0.192172211,,1473
6/23/2020 7:48,5ef1aee8c02875.75388205,18,5000,0,488,0,61973,0.7,36,6898.5,0,1,0,0.137658674,0.779970361,0.795535261,,5488
6/23/2020 7:49,5ef1aee8c02875.75388205,19,2000,0,488,0,63973,0.7,36,6898.5,0,1,0,0.137658674,0.311988144,0.360658114,,2488
